Region,illiterates,no_diploma,primary,low_secondary,high_school,uni_bachelor,uni_phd
BERAT,3858,1729,21999,55440,34093,7681,58
DIBER,3567,2135,22586,57809,24950,5292,34
DURRES,5336,2311,34474,98964,64877,19776,174
ELBASAN,8953,3318,43831,119021,62149,18469,198
FIER,8217,3308,44083,122912,74655,18126,151
GJIROKASTER,1625,847,10927,23661,19391,7936,77
KORCE,4792,2397,34421,82448,52906,16871,160
KUKES,1593,1249,13601,31952,17913,4547,24
LEZHE,4150,1459,20524,51563,30992,6790,66
SHKODER,5284,2791,32527,82046,48883,15062,206
TIRANE,11858,6493,83368,201235,218691,121091,2346
VLORE,4242,2379,23123,59130,47518,17297,207
